Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Проектирование информационных систем. Стандартизация, техническое документирование информ. систем;Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич;Ограничено;1372;1960;30
Системы отображения информации. Дискретные индикаторы. Учебник для вузов;Смирнов Виктор Михайлович;На складе;2131;3044;30
Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО;Журавлев Антон Евгеньевич;На складе;1322;1889;30
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов;Кудинов Юрий Иванович и др.;На складе;1936;2766;30
Мультимедийные технологии. Учебник для СПО;Катунин Геннадий Павлович;Ограничено;2922;4174;30
Swift. Основы разработки приложений под iOS, iPadOS и macOS;Усов Василий;На складе;1563;2004;22
Система модулей Java;Парлог Николай;На складе;2024;2595;22
Системы искусственного интеллекта. Учебное пособие;Бураков Михаил Владимирович;На складе;458;654;30
Как программировать на С++;Дейтел Харви, Дейтел Пол Дж.;На складе;1306;1866;30
Игровой движок. Программирование и внутреннее устройство;Грегори Джейсон;На складе;4321;5540;22
Принципы юнит-тестирования;Хориков Владимир;На складе;1073;1376;22
Простой Python. Современный стиль программирования;Любанович Билл;На складе;1617;2073;22
Kotlin. Сборник рецептов. Предметный подход;Коузен Кен;На складе;1142;1631;30
Олимпиадное программирование;Лааксонен Антти;На складе;1356;1937;30
Алгоритмы и структуры данных. Учебное пособие;Мясникова Нелли Александровна;На складе;823;1176;30
Компьютерная арифметика. Учебное пособие. СПО (+CD);Иорданский Михаил Анатольевич;На складе;970;1386;30
Программирование. Практикум. Учебное пособие;Быкадорова Елена Анатольевна;На складе;361;515;30
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие;Иванько Александр Федорович, Иванько Михаил Александрович;На складе;691;987;30
Распределенные системы;Таненбаум Эндрю, Стин ван Мартен;На складе;2141;3059;30
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python;Гуриков Сергей Ростиславович;На складе;3420;4885;30
Android. Программирование для профессионалов;Филлипс Билл и др.;На складе;1760;2257;22
Алгебра и геометрия с примерами на Python. Учебное пособие;Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич;На складе;3225;4607;30
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие;Журавлев Антон Евгеньевич и др.;Ограничено;1534;2192;30
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;Гуриков Сергей Ростиславович;На складе;2377;3396;30
Hello World! Программирование для детей и взрослых;Сэнд Уоррен, Сэнд Картер;На складе;1285;1835;30
Методология создания информационных систем. Учебное пособие;Карминский Александр Маркович, Черников Борис Васильевич;На складе;2087;2981;30
Время UNIX. A History and a Memoir;Керниган Брайан;На складе;1053;1350;22
Проектирование информационных систем. Учебное пособие. СПО;Вейцман Владимир Моисеевич;На складе;2031;2901;30
Создание сайтов на основе WordPress. Учебное пособие. СПО;Сергеев Алексей Николаевич;На складе;799;1142;30
Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем;Мицуфуджи Акио и др.;На складе;2141;3059;30
Современный JavaScript для нетерпеливых;Хорстман Кэй С.;На складе;1285;1835;30
Инфокоммуникационные системы. Учебник;Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович;На складе;2688;3840;30
Инфокоммуникационные системы. Учебник;Журавлев Антон Евгеньевич и др.;На складе;2606;3723;30
Программирование на Rust. Официальный гайд;Клабник Стив, Николс Кэрол;На складе;2703;3465;22
Проектирование информационных систем. Учебное пособие;Коваленко Владимир Васильевич;На складе;2395;3422;30
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений;Черный Борис;На складе;1345;1724;22
Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services;Феррари Альберто, Руссо Марко;На складе;2855;4079;30
Хаос-инжиниринг;Розенталь Кейси, Джонс Нора;На складе;1428;2040;30
Цифровая обработка сигналов на системном уровне с использованием LabVIEW;Кехтарнаваз Насер, Ким Намджин;На складе;1285;1835;30
Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач;Струченков Валерий Иванович;На складе;532;760;30
Базы данных. Учебник;Кумскова Ирина Александровна;На складе;1247;1781;30
Спортивное программирование;Халим Стивен, Халим Феникс;На складе;1999;2855;30
Django 3.0. Практика создания веб-сайтов на Python;Дронов Владимир Александрович;На складе;1027;1467;30
Python и наука о данных для чайников;Мюллер Джон Пол, Массарон Лука;На складе;1453;2075;30
Криптография - наука о тайнописи. Учебное пособие;Фомичев Владимир Михайлович;На складе;466;665;30
Искусство тестирования программ;Сандлер Кори и др.;Ограничено;2419;3456;30
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие;Васильев Николай Павлович, Заяц Анатолий Моисеевич;На складе;1967;2810;30
Прикладное программирование. Учебное пособие;Никифоров Сергей Николаевич;Ограничено;688;983;30
Python для программирования криптовалют;Сонг Джимми;На складе;3025;4322;30
Прикладное машинное обучение без учителя с использованием Python;Пател Анкур;На складе;2419;3456;30
Алгоритмы оптимизации;Кохендерфер Майкл, Уилер Тим;На складе;3630;5186;30
Мифический человеко-месяц, или Как создаются программные системы;Брукс Фредерик;На складе;1353;1735;22
Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени;Полухин Антон;На складе;1428;2040;30
JavaScript. 20 уроков для начинающих;Дронов Владимир Александрович;На складе;692;988;30
PHP и MySQL. 25 уроков для начинающих;Дронов Владимир Александрович;На складе;794;1134;30
Программирование для Android;Колисниченко Денис Николаевич;На складе;519;741;30
Ловушка для багов. Полевое руководство по веб-хакингу;Яворски Питер;На складе;1345;1724;22
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода;Химено-Сеговиа Мерседес и др.;На складе;1357;1740;22
Site Reliability Workbook. Практическое применение;Бейер Бетси и др.;На складе;2172;2785;22
Разработка и реализац.портальн.решений: Практикум;Лукьянов Павел Борисович, Маркова Светлана Владимировна;На складе;642;917;30
Транспортная логистика (линейное программирование). Учебное пособие;Пашков Николай Николаевич;На складе;806;1152;30
Автоматизация рутинных задач с помощью Python. Практическое руководство для начинающих;Свейгарт Эл;На складе;2419;3456;30
Генетические алгоритмы на Python;Вирсански Эйял;На складе;1428;2040;30
C#. Основы программирования. Учебное пособие;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;2167;3096;30
Kotlin. Программирование на примерах;Аделекан Ияну;На складе;953;1361;30
Взлом. Приемы, трюки и секреты хакеров;Комиссаров Иван aLLy и др.;На складе;585;835;30
HTML и CSS. 25 уроков для начинающих;Дронов Владимир Александрович;На складе;745;1064;30
Алгоритмы и программы. Язык С++. Учебное пособие;Конова Елена Александровна, Поллак Галина Андреевна;На складе;1294;1848;30
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;Ограничено;835;1193;30
Обработка естественного языка в действии;Хобсон Лейн и др.;На складе;2309;2960;22
Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go;Цукалос Михалис;На складе;3503;4491;22
Программируем с PyTorch. Создание приложений глубокого обучения;Пойтнер Ян;На складе;1357;1740;22
Эффективный TypeScript. 62 способа улучшить код;Вандеркам Дэн;На складе;1357;1740;22
Istio. Приступаем к работе;Калькот Ли, Бутчер Зак;На складе;1428;2040;30
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям;Граймс Роджер А.;На складе;1285;1835;30
Проектирование веб-API;Лоре Арно;На складе;1428;2040;30
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше;Сабиров Василий Константинович;На складе;1026;1316;22
Мобильные роботы на базе ESP32 в среде Arduino IDE;Момот Михаил Викторович;На складе;592;845;30
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов;Нобак Маттиас;На складе;1285;1835;30
Программирование на VBA в Excel 2019. Самоучитель;Комолова Нина Владимировна, Клименко А. В.;На складе;663;947;30
Програмирование микроконтроллеров AVR. От Arduino к ассемблеру;Ревич Юрий Всеволодович;На складе;713;1019;30
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту;Крон Джон и др.;На складе;1345;1724;22
Глубокое обучение с подкреплением. AlphaGo и другие технологии;Лапань Максим;На складе;2132;2733;22
Чистый Agile. Основы гибкости;Мартин Роберт С.;На складе;1357;1740;22
