Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Эффективное программирование на C++. Практическое программирование на примерах;Му Барбара Э., Кениг Эндрю;Ограничено;1602;2288;30
Веб-программирование для чайников;Никхил Абрахам;На складе;1345;1921;30
Язык программирования Go;Керниган Брайан, Донован Алан А. А.;Ограничено;1814;2592;30
PHP7 для начинающих с пошаговыми инструкциями;МакГрат Майк;На складе;568;728;22
Angular. Сборник рецептов;Фрисби Мэтт;Ограничено;1210;1728;30
Java. Полное руководство;Шилдт Герберт;На складе;4235;6050;30
Исследование операций;Таха Хемди А.;На складе;3630;5186;30
Компиляторы. Краткий справочник;Хантер Робин;Ограничено;802;1145;30
Структуры данных и алгоритмы;Ахо Альфред В. и др.;На складе;1453;2075;30
Язык программирования C# 7 и платформы .NET и .NET Core;Троелсен Эндрю, Джепикс Филипп;На складе;4840;6914;30
Шаблоны C++. Справочник разработчика;Вандевурд Дэвид и др.;На складе;3025;4322;30
Java Persistence API и Hibernate;Бауэр Кристиан и др.;На складе;1428;2040;30
Байесовские модели. Байесовская статистика на языке Python;Дауни Аллен Б.;На складе;928;1325;30
Разработка чат-ботов и разговорных интерфейсов;Джанарсанам Срини;На складе;1142;1631;30
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание;Рихтер Джеффри;На складе;1779;2281;22
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных;Льюис Джонатан;На складе;1142;1631;30
Идеальный программист. Как стать профессионалом разработки ПО;Мартин Роберт С.;На складе;660;846;22
Apache Kafka. Потоковая обработка и анализ данных;Нархид Ния и др.;На складе;1375;1763;22
Site Reliability Engineering. Надежность и безотказность как в Google;Бейер Бетси и др.;На складе;1630;2090;22
Разработка игр и теория развлечений;Костер Рэф;На складе;1142;1631;30
Искусство создания сценариев в Unity;Торн Алан;На складе;1142;1631;30
Основы работы с технологией CUDA;Боресков Алексей Викторович, Харламов Александр Александрович;На складе;579;827;30
WebGL. Программирование трехмерной графики;Мацуда Коичи, Ли Роджер;На складе;1142;1631;30
Безопасность разработка в Agile-проектах;Белл Лаура и др.;На складе;1285;1835;30
Чистый Python. Тонкости программирования для профи;Бейдер Дэн;На складе;1168;1498;22
Теория измеримых множеств и мультимножеств;Петровский Алексей Борисович;Ограничено;804;1149;30
Совершенный код. Мастер-класс;Макконнелл Стив;На складе;1376;1966;30
Введение в распределенное моделирование в среде NetLogo;Ершов Николай Михайлович;На складе;1285;1835;30
Искусственный интеллект .NET. Речь, язык и поиск;Патак Нишит, Бхандари Анураг;На складе;1142;1631;30
Элегантный SciPy;Нуньес-Иглесиас Хуан и др.;На складе;1356;1937;30
Изучаем Java EE. Современное программирование для больших предприятий;Дашнер Себастьян;Ограничено;1110;1423;22
Стандартная библиотека Python 3. Справочник с примерами;Хеллман Даг;На складе;4235;6050;30
Олимпиадное программирование;Лааксонен Антти;На складе;1273;1818;30
Язык декларативного программирования XAML;Подбельский Вадим Валерьевич;Ограничено;1070;1529;30
Математика на Python. Часть 1. Элементы линейной алгебры;Александрова Ирина Александровна и др.;На складе;417;596;30
Облачные технологии поддержки решения задач анализа безубыточности. Монография;Смирнов Денис Евгеньевич;На складе;417;596;30
Прикладное программирование на С/С++: с нуля;Иванов Всеволод Борисович;На складе;724;1034;30
Программист-фанатик;Фаулер Чед;На складе;602;772;22
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов;Прайс Марк Дж.;На складе;1748;2241;22
Компьютерные вирусы и антивирусы: взгляд программиста;Климентьев Константин Евгеньевич;На складе;1142;1631;30
Практическая статистика для специалистов Data Science. 50 важнейших понятий;Брюс Питер, Брюс Эндрю;На складе;631;902;30
Прикладное программирование. Учебное пособие;Никифоров Сергей Николаевич;На складе;647;924;30
Программирование на C# для начинающих. Основные сведения;Васильев Алексей Николаевич;На складе;902;1157;22
Алгоритмы для чайников;Массарон Лука, Мюллер Джон Пол;Ограничено;1453;2075;30
Хакинг. Искусство эксплойта;Эриксон Джон;На складе;1563;2004;22
Глубокое обучение на Python;Шолле Франсуа;На складе;1060;1359;22
C# 7.0. Справочник. Полное описание языка;Албахари Джозеф, Албахари Бен;На складе;3025;4322;30
Java SE 9. Базовый курс;Хорстманн Кей С.;Ограничено;1814;2592;30
LabVIEW в научных исследованиях;Евдокимов Юрий Кириллович и др.;На складе;1070;1529;30
Python. Разработка на основе тестирования;Персиваль Гарри;На складе;2141;3059;30
Чистый код. Создание, анализ и рефакторинг;Мартин Роберт С.;На складе;718;921;22
Разработка одностраничных веб-приложений;Миковски Майкл С., Пауэлл Джош К.;На складе;1142;1631;30
Qt 5.10. Профессиональное программирование на C++;Шлее Макс;На складе;1376;1966;30
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику;Феррейра Фило Владстон;На складе;682;874;22
Программирование искусственного интеллекта в приложениях;Джонс М. Тим;На складе;717;1024;30
Программирование на Ардуино. От простого к сложному;Мамичев Дмитрий Иванович;На складе;538;768;30
Запускаем Ansible;Хохштейн Лорин, Мозер Рене;На складе;1428;2040;30
Современный Java. Рецепты программирования;Коузен Кен;Ограничено;1142;1631;30
Сам себе программист. Как научиться программировать и устроиться в Ebay?;Альтхофф Кори;На складе;610;782;22
Программное обеспечение геодезии, фотограм, кадастра, инж.из.;Браверман Борис Аронович;На складе;928;1325;30
Собираем устройства для тестов на проникновение;Бирюков Андрей Александрович;На складе;1070;1529;30
Самоучитель PHP 7;Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович;На складе;508;725;30
Блокчейн. Разработка приложений;Прасти Нараян;На складе;461;658;30
Java. Карманный справочник;Лигуори Роберт, Лигуори Патрисия;На складе;969;1384;30
Чистая архитектура. Искусство разработки программного обеспечения;Мартин Роберт С.;На складе;887;1137;22
Объектно Ориентированное Программирование;Гаско Рик;На складе;626;894;30
Простая Математика для Простых Программистов;Гаско Рик;На складе;626;894;30
Простой учебник программирования;Гаско Рик;На складе;705;1007;30
Потоковая обработка данных. Конвейер реального времени;Пселтис Эндрю Дж.;На складе;999;1427;30
Java для чайников;Берд Барри;На складе;1453;2075;30
Психбольница в руках пациентов. Алан Купер об интерфейсах;Купер Алан;На складе;1209;1550;22
OpenCV и Java. Обработка изображений и компьютерное зрение;Прохоренок Николай Анатольевич;На складе;570;814;30
Высоконагруженные приложения. Программирование, масштабирование, поддержка;Клеппман Мартин;На складе;2344;3005;22
Глубокое обучение с точки зрения практика;Паттерсон Джош, Гибсон Адам;На складе;1856;2651;30
Думай как программист. Креативный подход к созданию кода. C++ версия;Спрол Антон;На складе;649;832;22
Релевантный поиск с использованием Elasticsearch и Solr;Тарнбулл Даг, Берримен Джон;На складе;1285;1835;30
Программирование на языке Rust. Цветное издание;Блэнди Джим, Орендорф Джейсон;На складе;2141;3059;30
Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP;Дронов Владимир Александрович;На складе;680;972;30
Алгоритмы для начинающих. Теория и практика для разработчика;Луридас Панос;На складе;944;1210;22
Реактивные шаблоны проектирования;Кун Роланд и др.;На складе;1143;1466;22
Язык С в XXI веке;Клеменс Бен;На складе;1070;1529;30
Android. Сборник рецептов. Задачи и решения для разработчиков приложений;Дарвин Ян Ф.;Ограничено;3025;4322;30
Язык R в задачах науки о данных. Импорт, подготовка, обработка, визуализация и моделирование данных;Уикем Хэдли, Гроулмунд Гарретт;На складе;3025;4322;30
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров;Абельская Раиса Шолемовна;На складе;221;316;30
Основы Data Science и Big Data. Python и наука о данных;Силен Дэви и др.;На складе;1321;1694;22
Интерфейс JNI. Руководство по программированию и спецификация;Шенг Лиэнг;На складе;789;1127;30
Анализ социальных медиа на Python;Бонцанини Марко;На складе;1142;1631;30
Глубокое обучение (цветная);Бенджио Иошуа и др.;На складе;2713;3876;30
Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD);Сизиков Валерий Сергеевич;На складе;2548;3640;30
Наиболее эффективное программирование на C#. 50 способов улучшения кода;Вагнер Билл;Ограничено;1453;2075;30
Разработка операционной системы и компилятора. Проект Оберон;Вирт Никлаус, Гуткнехт Юрг;На складе;1142;1631;30
CodeVisionAVR. Пособие для начинающих;Лебедев Михаил Борисович;На складе;999;1427;30
Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET;Ховард Майкл и др.;На складе;717;1024;30
Scala. Профессиональное программирование;Одерски Мартин и др.;На складе;2268;2908;22
Искусство алгоритмизации;Потопахин Виталий Валерьевич;На складе;789;1127;30
Java 9. Полный обзор нововведений;Кишори Шаран;На складе;1428;2040;30
Kotlin в действии;Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна;На складе;1285;1835;30
Конкурентное программирование на Scala;Прокопец Александр;На складе;1213;1733;30
Крупномасштабное машинное обучение вместе с Python;Шарден Бастиан и др.;На складе;1142;1631;30
Программирование на Clojure;Эмерик Чаз и др.;На складе;1713;2447;30
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0;Албахари Джозеф, Албахари Бен;На складе;969;1384;30
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID;Холл Гэри Маклин;На складе;2419;3456;30
Секреты JavaScript ниндзя;Резиг Джон и др.;На складе;3025;4322;30
Курс программирования на языке Си. Учебник;Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич;На складе;856;1223;30
СУБД для программиста. Базы данных изнутри;Тарасов Сергей Витальевич;На складе;790;1129;30
Объектно-ориентированное программирование в С++;Лафоре Роберт;На складе;1630;2090;22
Язык программирования C++. Базовый курс;Липпман Стенли Б. и др.;На складе;3630;5186;30
Машинное обучение с использованием библиотеки Н2О;Кук Даррен;На складе;1142;1631;30
Программирование. Принципы и практика с использованием C++;Страуструп Бьярне;На складе;4235;6050;30
Библиотека Keras - инструмент глубокого обучения;Джулли Антонио, Пал Суджит;На складе;1285;1835;30
Визуализация данных с помощью библиотеки D3.js 4.x;Рининсланд Эндрю, Свизек Теллер;На складе;999;1427;30
Шаблоны корпоративных приложений;Фаулер Мартин;На складе;3630;5186;30
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач;Монк Саймон;На складе;1814;2592;30
JavaScript в примерах и задачах;;На складе;812;1041;22
Visual C# 2.0.NET. Полное руководство;Прайс Дебора, Гандэрлой Майк;На складе;648;925;30
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем;Эванс Эрик;На складе;4840;6914;30
Язык программирования C++. Лекции и упражнения;Прата Стивен;На складе;3630;5186;30
C++ для чайников;Дэвис Стефан Рэнди;На складе;1210;1728;30
Практикум по параллельному программированию;Борзунов Сергей Викторович и др.;На складе;515;736;30
Программирование командных оболочек в Unix, Linux и OS X;Кочан Стефан, Вуд Патрик;На складе;2419;3456;30
Рефакторинг. Улучшение проекта существующего кода;Бек Кент и др.;На складе;2419;3456;30
Изучаем программирование на Python;Бэрри Пол;На складе;1232;1579;22
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL;Редмонд Эрик, Уилсон Джим Р.;На складе;999;1427;30
Математическое программирование. Учебное пособие;Карманов Владимир Георгиевич;Ограничено;494;706;30
jQuery в действии;Бибо Беэр и др.;На складе;1120;1436;22
Шаблоны проектирования Node.JS;Касиаро Марио, Маммино Лучано;На складе;1213;1733;30
Разработка современных веб-приложений. Анализ предметных областей и технологий;Эспозито Дино;На складе;3025;4322;30
Vulkan. Руководство разработчика;Селлерс Грехем, Кессенич Джон;На складе;1356;1937;30
Основы программирования;Окулов Станислав Михайлович;На складе;531;758;30
Введение в машинное обучение с помощью Python. Руководство для специалистов по работе с данными;Мюллер Адреас П., Гвидо Сара;На складе;3630;5186;30
Машинное обучение;Бринк Хенрик и др.;На складе;1553;1991;22
Среда динамического моделирования технических систем SimInTech;Карташов Борис Александрович и др.;На складе;999;1427;30
Алгоритмы. Справочник с примерами на C, C++, Java и Python;Хайнеман Джордж и др.;На складе;2419;3456;30
Софт за 30 дней. Как Scrum делает невозможное возможным;Сазерленд Джефф, Швабер Кен;На складе;1156;1482;22
Delphi 2006. Справочное пособие. Язык Delphi, классы, функции Win32 и .NET.;Архангельский Алексей Яковлевич;На складе;673;961;30
Изучаем OpenCV 3;Кэлер Адриан, Брэдски Гэри;На складе;2570;3671;30
Семь языков за семь недель. Практическое руководство по изучению языков программирования;Тейт Брюс;На складе;928;1325;30
Принципы и методы создания надежного программного обеспечения АСУТП. Методическое пособие;Мякишев Дмитрий Владимирович;Ограничено;652;931;30
Flash MX для профессиональных программистов. Учебное пособие;Капустин Михаил Анатольевич и др.;Ограничено;402;574;30
Flash MX для профессиональных программистов. Учебное пособие;Капустин Михаил Анатольевич и др.;Ограничено;402;574;30
Программирование на Java для начинающих;Васильев Алексей Николаевич;На складе;812;1041;22
Javascript и jQuery. Интерактивная веб-разработка;Дакетт Джон;На складе;1726;2213;22
Предметно - ориентированное проектирование. Самое основное;Вернон Вон;На складе;1814;2592;30
Введение в Elixir. Введение в функциональное программирование;Сенлорен Симон, Эйзенберг Дэвид;На складе;999;1427;30
Моделирование аукционов;Демешев Борис Борисович;На складе;510;728;30
Как самому написать мобильную 2D-игру;Язев Юрий Евгеньевич;На складе;790;1129;30
Python и машинное обучение;Рашка Себастьян;На складе;1856;2651;30
Проектирование пользовательского интерфейса Android;Клифтон Ян;На складе;1428;2040;30
Программирование на C в примерах и задачах;Васильев Алексей Николаевич;На складе;902;1157;22
Прикладная криптография. Протоколы, алгоритмы и исходный код на C;Шнайер Брюс;На складе;5335;7622;30
ASP.NET Core MVC с примерами на C# для профессионалов;Фримен Адам;Ограничено;4235;6050;30
Стек, или Путешествие туда и обратно;Вторников Алексей Анатольевич;На складе;369;527;30
Программирование на Visual Basic для начинающих;МакГрат Майк;Ограничено;528;677;22
Разработка встроенных систем с помощью микроконтроллеров PIC. Принципы и практические примеры (+CD);Уилмсхерст Тим;Ограничено;1145;1636;30
Реактивное программирование с использованием RxJava;Нуркевич Томаш, Кристенсен Бен;На складе;1213;1733;30
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов;Скляр Дэвид;На складе;1814;2592;30
Не заставляйте меня думать;Круг Стив;На складе;690;885;22
Go на практике;Батчер Мэтт, Фарина Мэтт;На складе;1142;1631;30
Использование Docker;Моуэт Эдриен;На складе;1285;1835;30
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB;Плохотников Константин Эдуардович;На складе;1334;1905;30
Программирование систем числового программного управления. учебное пособие (+CD);Сосонкин Владимир Лазаревич, Мартинов Георгий;На складе;881;1258;30
Цифровая обработка сигналов на языке Python;Дауни Аллен Б.;На складе;579;827;30
Эффективная работа с унаследованным кодом;Физерс Майкл К.;Ограничено;2668;3811;30
"Новые сложные задачи на C++. Серия ""C++ In-Depth""";Саттер Герб;Ограничено;1068;1526;30
Программирование на C++ в примерах и задачах;Васильев Алексей Николаевич;На складе;649;832;22
Cassandra. Полное руководство;Карпентер Джефф, Хьюитт Эбен;На складе;1070;1529;30
Изучаем Angular 2;Дилеман Пабло;На складе;999;1427;30
Разработка обслуживаемых программ на языке C#;Виссер Джуст;На складе;649;927;30
Разработка обслуживаемых программ на языке Java;Виссер Джуст;Ограничено;649;927;30
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD);Кравченко Алексей Владимирович;На складе;356;509;30
XBRL для чайников;Хоффман Чарльз, Уотсон Лив;На складе;1814;2592;30
Разработка геоприложений на языке Python;Вестра Эрик;На складе;1213;1733;30
Инженерия требований;Халл Элизабет и др.;На складе;999;1427;30
Программирование PIC - микроконтроллеров на PicBasic;Хелибайк Чак;На складе;649;927;30
Введение в современные САПР. Курс лекций;Малюх Владимир Николаевич;На складе;510;728;30
Современные микроконтроллеры. Архитектура, программирование, разработка устройств;Магда Юрий Степанович;На складе;579;827;30
Функциональное программирование на F#;Сошников Дмитрий Валерьевич;На складе;510;728;30
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ;Дьюхэрст Стефан К.;На складе;649;927;30
Программируем микрокомпьютер NXT в LabVIEW;Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич;На складе;510;728;30
Dart в действии;Баккет Крис;На складе;1142;1631;30
MATLAB. Полный самоучитель;Дьяконов Владимир Павлович;На складе;1428;2040;30
С для программистов с введением в С11;Дейтел Харви, Дейтел Пол Дж.;На складе;1070;1529;30
Параллельное и конкурентное программирование на Haskell;Марлоу Саймон;На складе;1142;1631;30
Практическое использование Common Lisp;Сайбель Питер;На складе;1285;1835;30
Сбор данных в Интернете на языке R;Храмов Дмитрий Александрович;На складе;928;1325;30
Unity 5.x. Программирование искусственного интеллекта в играх;Паласиос Хорхе;На складе;999;1427;30
Программирование микроконтроллеров. Стратегия и тактика;Матюшин Андрей Олегович;На складе;1142;1631;30
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails;Хартл Майкл;На складе;1570;2243;30
Программирование и отладка С/С++ приложений для микроконтроллеров ARM;Магда Юрий Степанович;На складе;510;728;30
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;Мэйерс Скотт;На складе;717;1024;30
Assembler. Для DOS, Windows и Unix;Зубков Сергей Владимирович;На складе;1070;1529;30
Лямбда-выражения в Java 8. Функциональное программирование - в массы;Уорбэртон Ричард;На складе;579;827;30
Системная инженерия. Принципы и практика;Косяков Александр и др.;На складе;1428;2040;30
PHP 7;Котеров Дмитрий Владимирович, Симдянов Игорь Вячеславович;На складе;1217;1739;30
Оптимизация приложений на платформе .Net;Голдштейн Саша и др.;На складе;1285;1835;30
Интерфейс. Основы проектирования взаимодействия;Купер Алан и др.;На складе;1714;2197;22
Аналоговые интерфейсы микроконтроллеров;Болл Стюарт Р.;На складе;856;1223;30
Анализ сетей (графов) в среде R. Руководство пользователя;Люк Дуглас А.;Ограничено;1285;1835;30
Основы проектирования в Autodesk Inventor 2016;Зиновьев Дмитрий Валериевич;На складе;579;827;30
Изучай Haskell во имя добра!;Липовача Миран;На складе;1070;1529;30
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов (+CD);Герман-Галкин Сергей Германович;На складе;475;678;30
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD);Кравченко Алексей Владимирович;Ограничено;356;509;30
Вычислительная геометрия. Алгоритмы и приложения;Де Берг Марк и др.;На складе;1713;2447;30
Разработка веб-приложений в ReactJS;Хортон Адам, Вайс Райан;На складе;999;1427;30
Введение в статистическое обучение с примерами на языке R;Джеймс Гарет и др.;На складе;2141;3059;30
Современное программирование с нуля!;Потопахин Виталий Валерьевич;На складе;510;728;30
Программирование на языке Lua;Иерузалимски Роберту;На складе;928;1325;30
Android NDK. Руководство для начинающих;Ретабоуил Сильвен;На складе;1156;1651;30
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета;Митчелл Райан;На складе;928;1325;30
PIC-микроконтроллеры: архитектура и программирование;Предко Майкл;На складе;856;1223;30
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox;Типикин А. А.;На складе;351;501;30
Управление электронными устройствами на С++. Разработка практических приложений;Катупития Янта, Бентли Ким;На складе;999;1427;30
C# 6.0. Справочник. Полное описание языка;Албахари Джозеф, Албахари Бен;На складе;3025;4322;30
Swift. Карманный справочник. Программирование в среде iOS и ОS X;Грей Энтони;На складе;731;1044;30
LabVIEW: стиль программирования;Блюм Питер;На складе;649;927;30
Искусство автономного тестирования с примерами на С#;Ошероув Рой;На складе;1142;1631;30
Графовые базы данных. Новые возможности для работы;Робинсон Ян и др.;На складе;928;1325;30
Руководство по микропроцессорному обеспечению;;Ограничено;999;1427;30
Программирование компьютерного зрения на языке Python;Солем Ян Эрик;На складе;999;1427;30
UML Проектирование систем реального времени, распределенных и параллельных приложений;Гома Хассан;На складе;1428;2040;30
Периферийные устройства: интерфейсы, схемотехника, программирование;Авдеев Вадим Александрович;На складе;1285;1835;30
R в действии. Анализ и визуализация данных на языке R;Кабаков Роберт И.;На складе;1142;1631;30
Анализ больших наборов данных;Лесковец Юре и др.;На складе;1713;2447;30
Построение компиляторов;Вирт Никлаус;На складе;579;827;30
Современный PHP. Новые возможности и передовой опыт;Локхарт Джош;На складе;928;1325;30
MATLAB. Теория и практика;Гилат Амос;На складе;1142;1631;30
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ;Уильямс Энтони;На складе;1428;2040;30
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;Мейерс Скотт;На складе;717;1024;30
Введение в надежное и безопасное распределенное программирование;Качина Кристиан и др.;На складе;1428;2040;30
C# 6.0. Карманный справочник;Албахари Джозеф, Албахари Бен;На складе;731;1044;30
Разработка веб-приложений с использованием Flask на языке Python;Гринберг Мигель;На складе;928;1325;30
Алгоритмы. Теория и практическое применение;Стивенс Род;На складе;985;1263;22
Python. К вершинам мастерства;Рамальо Лучано;На складе;1428;2040;30
Введение в ECMAScript 6;Прасти Нараян;На складе;717;1024;30
Программирование для Windows на С/С++. В 2-х томах. Том 2;Мартынов Николай Николаевич;На складе;258;369;30
Программирование мобильных устройств на платформе .Net Compact Framework;Самре Иво;На складе;934;1334;30
Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK;Марк Дэйв и др.;На складе;1210;1728;30
Silverlight 5 с примерами на C# для профессионалов;Мак-Дональд Мэтью;На складе;1453;2075;30
C# 5.0.Справочник. Полное описание языка;Албахари Джозеф, Албахари Бен;Ограничено;2001;2858;30
Java SE 8. Вводный курс;Хорстманн Кей С.;Ограничено;731;1044;30
Joomla! Для профессионалов;Рамел Дэн;На складе;1210;1728;30
Microsoft Exchange Server 2013. Полное руководство;Моримото Рэнд и др.;Ограничено;2668;3811;30
WinRT. программирование на C# для профессионалов;Рихтер Джеффри, ван де Боспурт Мартен;Ограничено;1210;1728;30
Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa;Нойбург Мэтт;Ограничено;969;1384;30
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ;Лонг Фрэд и др.;На складе;667;953;30
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов;Фримен Адам;На складе;4002;5717;30
Swift. Разработка приложений в среде Xcode для iPhone и iPad с использованием iOS SDK;Марк Дэвид и др.;Ограничено;3025;4322;30
Java. Библиотека профессионала. Том 2. Расширенные средства программирования;Хорстманн Кей С., Корнелл Гари;Ограничено;2668;3811;30
Drupal 7. Руководство пользователя;Колисниченко Денис Николаевич;На складе;260;371;30
Joomla 2.5. Руководство пользователя;Колисниченко Денис Николаевич;Ограничено;377;538;30
C# 5.0 и платформа .NET 4.5 для профессионалов;Глинн Джей и др.;Ограничено;1814;2592;30
Расширение библиотеки STL для С++. Наборы и итераторы (+CD);Уилсон Мэтью;На складе;718;1025;30
Python на практике;Саммерфилд Марк;На складе;856;1223;30
Линейное программирование. Руководство к решению задач;Лунгу Константин Никитович;Ограничено;242;346;30
Поисковая адаптация. Теория и практика;Курейчик Виктор Михайлович и др.;Ограничено;589;842;30
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность;Токарев Владислав Васильевич;Ограничено;1345;1922;30
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач;Подколзин Александр Сергеевич;Ограничено;1495;2136;30
Дизайн и эволюция языка С++;Страуструп Бьерн;На складе;789;1127;30
Обработка естественного языка на Java;Риз Ричард;На складе;999;1427;30
Дизайн и эволюция языка С++;Страуструп Бьерн;На складе;789;1127;30
Обработка естественного языка на Java;Риз Ричард;На складе;999;1427;30
Современное логическое программирование на языке Visual Prolog 7.5. Учебник;Марков В. Н.;На складе;755;1078;30
Теория вычислений для программистов;Стюарт Том;На складе;928;1325;30
Алгоритмы и структуры данных. Новая версия для Оберона;Вирт Никлаус;На складе;649;927;30
Искусство поиска решения в нестандартной задаче;Потопахин Виталий Валерьевич;На складе;438;626;30
Программирование на Python для начинающих;МакГрат Майк;На складе;568;728;22
Применение Web-стандартов. CSS и Ajax для больших сайтов;Шмитт Кристофер и др.;На складе;251;359;30
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE;Пьявченко Тамила Алексеевна;На складе;1670;2386;30
Язык Swift. Самоучитель;Харазян Айк Арменович;На складе;316;452;30
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход;Гэртнер Маркус;На складе;789;1127;30
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга;Петцольд Чарльз;На складе;1142;1631;30
Шейдеры и эффекты в Unity. Книга рецептов;Ламмерс Кенни;На складе;789;1127;30
JavaScript и jQuery. Исчерпывающее руководство;Макфарланд Дэвид;На складе;1314;1685;22
MUMPS СУБД. Практика применения и опыт программирования;Каратаев Евгений Анатольевич;Ограничено;1273;1819;30
Полезное программирование. Уникальное руководство;Комлев Николай Юрьевич;На складе;679;970;30
Visual FoxPro 9.0. Учебный курс;;На складе;607;867;30
MATLAB и SIMULINK для радиоинженеров;Дьяконов Владимир Павлович;На складе;1856;2651;30
Справочник по языку Haskell;Душкин Роман Викторович;На складе;928;1325;30
Java EE 7 и сервер приложений GlassFish 4;Хеффельфингер Дэвид;На складе;999;1427;30
Программирование на ассемблере на платформе x86-64;Аблязов Руслан Зуфярович;На складе;709;1013;30
Семантический веб;Антониоу Григорис и др.;На складе;856;1223;30
Функциональное программирование на языке Haskell;Душкин Роман Викторович;На складе;999;1427;30
Программирование на языке Go. Разработка приложений XXI века;Саммерфильд Марк;На складе;1285;1835;30
Разработка приложений Java EE 7 в NetBeans 8;Хеффельфингер Дэвид;На складе;1047;1496;30
Разработка программного обеспечения: управление изменениями;Белладжио Дэвид, Миллиган Том;Ограничено;717;1024;30
От математики к обобщенному программированию;Степанов Александр, Роуз Дэниэл Э.;На складе;856;1223;30
Изучаем программирование на JavaScript;Фримен Эрик, Робсон Элизабет;На складе;2051;2630;22
Путь Ruby;Фултон Хэл, Арко Андрэ;На складе;1428;2040;30
Программирование на Objective-C;Кочан Стивен;На складе;1471;2101;30
Изучаем Spark;Карау Холден и др.;На складе;928;1325;30
Статистический анализ и визуализация данных с помощью R;Мастицкий Сергей Эдуардович, Шитиков Владимир;На складе;1142;1631;30
LLVM. Инфраструктура для разработки компиляторов;Кардос Лопес Бруно, Аулер Рафаэль;Ограничено;928;1325;30
OpenGL ES 3.0. Руководство разработчика;Гинсбург Дэн, Пурномо Будирижанто;На складе;1285;1835;30
Современный Фортран на практике;Маркус Арьен;На складе;856;1223;30
Elastix - общайтесь свободно!;Юров Владислав;Ограничено;996;1423;30
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD);Кирстен Вольфганг и др.;На складе;538;768;30
Квантовые вычисления и функциональное программирование;Душкин Роман Викторович;На складе;510;728;30
Создание облачных и мобильных приложений на языке F#;Мол Дэниел;На складе;579;827;30
OpenGL 4. Язык шейдеров. Книга рецептов;Вольф Дэвид;На складе;1142;1631;30
Микроконтроллеры AVR семейств Tiny и Mega фирмы ATMEL;Евстифеев А.В.;На складе;856;1223;30
Микроконтроллеры AVR семейства Classic фирмы ATMEL;Евстифеев А.В.;На складе;579;827;30
Микроконтроллеры AVR семейства Mega. Руководство пользователя;Евстифеев А.В.;На складе;999;1427;30
Микроконтроллеры AVR семейства Tiny. Руководство пользователя;Евстифеев А.В.;На складе;717;1024;30
Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца;Максфилд Клайв;На складе;856;1223;30
Программирование микроконтроллеров ATMEL на языке C (+CD);Прокопенко Вадим Сергеевич;На складе;762;1088;30
Семь моделей конкуренции и параллелизма за семь недель;Батчер Пол;На складе;999;1427;30
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla;Волков Владимир Юрьевич;На складе;1044;1491;30
